,SpanwiseLocAlongWing_in,Fz_lbf,My_lbf_in
0,121.16213046786076,5001.46252986804,53054.74034301532
1,151.17420282977207,8110.612162826894,-5271.517871042124
2,174.60741596551495,8481.687263981103,91040.2791767367
3,201.22571225216032,7509.208799453828,41127.550240588316
4,227.7791576783528,7485.614238260534,14491.633496648621
5,254.34563756094343,7418.0528407045695,-2691.6975191532256
6,280.8868545869394,7319.520865054947,-7512.696648741374
7,307.449185074163,7208.126902946118,-16429.554922598385
8,333.96805375769736,7117.011203164657,-29310.101382132794
9,360.52249013188083,7039.403763471402,-44166.420009131165
10,387.0860755185914,6969.404010894791,-57317.22475555031
11,413.74748791755314,6869.0970225323035,-70047.01521327655
12,440.5823297794153,6869.5076368428245,-86259.62999450334
13,467.6278116637245,6852.771032682486,-93371.14954323978
14,493.98843755784867,6739.988919893914,-94443.77969355787
15,520.2986564301422,6631.42296903266,-93589.50824651557
16,546.6143557796431,6530.95532181514,-92961.76695431248
17,572.9256560171444,6408.755970307484,-91145.69461383666
18,599.2398887258498,6298.267389517043,-90201.20720142775
19,625.5504487230471,6177.117251011827,-88481.11015164427
20,651.8740196791434,6037.185763730182,-86211.5218372557
21,678.176564767068,5897.782159408586,-83360.37888271971
22,704.4666089051283,5749.064667884313,-79361.99700478492
23,730.7411143850045,5625.093842700661,-76798.54767242393
24,756.9975622790864,5411.007212468339,-69846.12136984135
25,783.2376014870954,5222.691463798862,-64584.03477902444
26,809.4526889492199,4989.2350301753595,-57719.10182863022
27,835.6537643776513,4763.908757802577,-52107.27621048794
28,861.8229871391592,4493.678580938253,-44778.15038624387
29,887.9880392885743,4178.51495674898,-36702.63634760769
30,914.1300155646483,3850.4965973765784,-28818.9264848411
31,940.2638518588917,3349.3894622289617,-17787.390727531365
32,966.3488308335221,2880.3124264209882,-8658.707212094263
33,992.4161154364709,2028.8816901777866,7122.251349008783
34,1018.4585580360075,1001.803491966624,12266.594434742183
35,1044.4891970775996,1001.5690933951262,11804.683036336464
36,1070.494061202355,1000.5745086574295,11332.201676127685
37,1096.471467912776,998.8438246173587,10872.955846577428
38,1122.4515376730387,897.6695714667026,10170.93257859425
39,1148.8142726788383,398.93083822725384,6687.181021466808
40,1142.5234870745587,0.0013338194812604343,0.03305230158852704
